"question","choice1","choice2","choice3","choice4","correct","order"
"إذا كانت الموازنة متوازنة سنويًا لكن النقد يضغط في بعض الأشهر، فأفضل أداة لفهم المشكلة هي:","لوحة الإعلانات","التوقع النقدي","سجل الحضور","الخطة التشغيلية فقط","B","1"
"إذا اعتمدت المنظمة على مورد إيراد واحد بدرجة عالية، فإن الخطر الأقرب هو:","تنوع الإيرادات","تركّز الإيرادات","ارتفاع السيولة","اكتمال المتابعة","B","2"
"الفرق بين الموازنة والتوقع أن:","التوقع يحدث الموازنة وفق النتائج الفعلية","الموازنة نوع من العقود","التوقع لا يحتاج بيانات","لا يوجد فرق","A","3"
"إذا كان الشخص نفسه يطلب ويعتمد ويسجل العملية المالية، فإن الخلل الأقرب هو:","وفرة المتابعة","ضعف فصل المهام","زيادة السيولة","جودة الإجراءات","B","4"
"الملاحظة التحليلية الجيدة هي التي:","تكرر الرقم فقط","تفسر الرقم وتربطه بقرار أو متابعة","تستبدل القوائم كلها","تلغي الحاجة للمؤشرات","B","5"
"من الأمثلة على ضابط مالي فعال:","استلام أصل بلا محضر","مقارنة الفاتورة بما تم استلامه واعتمادها من صاحب الصلاحية","ترك العهدة مفتوحة دون تسوية","شراء أصل دون قيد","B","6"
"من العناصر التي تقوي الحوكمة المالية:","غموض المسؤوليات","وضوح السياسات والصلاحيات والتقارير","الاعتماد الشفهي فقط","تقليل التوثيق","B","7"
"من حالات الاستخدام المناسبة للذكاء الاصطناعي في العمل المالي:","إصدار قرار اعتماد نهائي دون مراجعة","تلخيص تقرير أولي مع مراجعة بشرية كاملة","إخفاء مصادر البيانات","تجاهل الخصوصية","B","8"
"إذا تغيرت فرضية إيراد رئيسة في منتصف السنة، فإن الإجراء الأقرب هو:","تجاهل التغير","تحديث التوقع ومراجعة أثره","حذف الموازنة كاملة فورًا","إيقاف كل الصرف دون تحليل","B","9"
"لوحة المتابعة الجيدة ينبغي أن تكون:","طويلة جدًا ومليئة بكل شيء","مركزة على المؤشرات والرسائل الأساسية","خالية من الأرقام","بديلًا عن المشروع كله","B","10"
